3.0052	4.6718	 0.054631
2.8356	 4.836	 0.054635
3.0013 	2.758	 0.054629
2.8326	 2.5909	 0.054628

4.4392	1.705	0.25463
4.1542	2.1111	0.25463
5.2785	6.9278	0.25463
4.7339	1.2818	0.25463

6.2346	6.2692	0.054632
6.6695	6.8922	0.15421
5.4856	6.2702	0.054684
5.7094	6.8954	0.15513

5.4369	0.58826	0.47963
5.4549	0.84711	0.47995
5.2982	1.071	0.48021
4.6629	1.0688	0.47963

6.7865	5.8073 	0.35463
5.9253	4.557	0.35463
5.923	3.5738	0.35463
6.2702	3.0782	0.35463

8.6173	4.9612	0.099634
9.4313	3.7879	0.099635
9.4354	2.9453	0.099635
9.1049	2.4687	0.099633

7.72	6.8934	0.15464
8.3097	6.9	0.15464
8.3181	7.4638	0.15464
6.7162	6.9364	0.15464
